,ds,y,weather_pc,weather_pc2,visibility,is_winter,is_summer,is_spring_fall
178,2021-12-09 15:00:00,41954.0,-2665.784248320891,810.4969019901483,22420.0,1,0,0
179,2021-12-09 12:00:00,41903.0,-14606.810107730018,658.6634800363057,10480.0,1,0,0
180,2021-12-09 09:00:00,42786.0,-5248.104358491341,371.1063214887999,19840.0,1,0,0
181,2021-12-09 06:00:00,43600.0,-10858.480568336023,336.668520256337,14230.0,1,0,0
182,2021-12-09 03:00:00,40627.0,27491.807251038612,298.1847940570587,52580.0,1,0,0
183,2021-12-09 00:00:00,40783.0,26152.790401182505,484.72872980072793,51240.0,1,0,0
184,2021-12-08 21:00:00,41247.0,-5315.520819898221,884.8401534206666,19770.0,1,0,0
185,2021-12-08 18:00:00,42611.0,4886.117218174622,1232.4495433160089,29970.0,1,0,0
186,2021-12-08 15:00:00,40209.0,-14181.967928409276,1683.0476815991535,10900.0,1,0,0
187,2021-12-08 12:00:00,39755.0,24159.88965780493,1847.1979209793383,49240.0,1,0,0
188,2021-12-08 09:00:00,40693.0,-17478.790337973296,2101.163842040883,7600.0,1,0,0
189,2021-12-08 06:00:00,41655.0,-5307.080070881767,2325.867578584225,19770.0,1,0,0
190,2021-12-08 03:00:00,38734.0,13612.94293919195,2216.9098444371944,38690.0,1,0,0
191,2021-12-08 00:00:00,38865.0,-8526.829397515887,2248.500799548891,16550.0,1,0,0
192,2021-12-07 21:00:00,40198.0,-9917.67928134041,2120.5920570877897,15160.0,1,0,0
193,2021-12-07 18:00:00,41651.0,12272.247089739485,2133.4622194937842,37350.0,1,0,0
194,2021-12-07 15:00:00,39659.0,-13446.897565931076,2367.957983684402,11630.0,1,0,0
195,2021-12-07 12:00:00,39473.0,-18340.235489323906,1617.1320009593348,6740.0,1,0,0
196,2021-12-07 09:00:00,40088.0,-15013.002030302703,994.383022334506,10070.0,1,0,0
197,2021-12-07 06:00:00,41038.0,-12686.283093882646,339.8188753917905,12400.0,1,0,0
198,2021-12-07 03:00:00,38101.0,-24018.545677103186,-78.45790652190432,1070.0,1,0,0
199,2021-12-07 00:00:00,38261.0,-15990.566283839125,-496.9493705300543,9100.0,1,0,0
200,2021-12-06 21:00:00,39633.0,-15329.576762671588,-259.24735249366444,9760.0,1,0,0
201,2021-12-06 18:00:00,40967.0,-1947.9133274572223,102.9798456922728,23140.0,1,0,0
202,2021-12-06 15:00:00,38693.0,-21948.033075709896,165.11517419725766,3140.0,1,0,0
203,2021-12-06 12:00:00,38534.0,-6080.342300342933,-348.3162145056921,19010.0,1,0,0
204,2021-12-06 09:00:00,39398.0,-6381.959957792635,-651.73452233486,18710.0,1,0,0
205,2021-12-06 06:00:00,40541.0,-5131.702016901261,-543.9539990998413,19960.0,1,0,0
206,2021-12-06 03:00:00,37705.0,11128.698203468486,-481.4742221593572,36220.0,1,0,0
207,2021-12-05 21:00:00,36928.0,-5128.55861749987,4.091324582727527,19960.0,1,0,0
208,2021-12-05 18:00:00,37531.0,26242.701656172783,175.46437850084473,51330.0,1,0,0
209,2021-12-05 15:00:00,33874.0,5493.8623859261115,492.962641650731,30580.0,1,0,0
210,2021-12-05 12:00:00,34007.0,8403.506387979853,444.77281018312,33490.0,1,0,0
211,2021-12-05 09:00:00,34436.0,25563.874271562334,515.2753514202523,50650.0,1,0,0
212,2021-12-05 06:00:00,36970.0,32625.094924594523,799.7001656899907,57710.0,1,0,0
213,2021-12-05 03:00:00,34946.0,13856.18617027722,1017.6431091578206,38940.0,1,0,0
214,2021-12-04 21:00:00,37465.0,-5126.098492412456,488.5533120134983,19960.0,1,0,0
215,2021-12-04 18:00:00,38241.0,-6516.665153585983,368.68144561217593,18570.0,1,0,0
216,2021-12-04 15:00:00,34737.0,-5405.426373695263,597.8822126013143,19680.0,1,0,0
217,2021-12-04 12:00:00,34617.0,-11893.783985427362,876.654271962411,13190.0,1,0,0
