,horizon,mse,rmse,mae,mdape,smape,coverage
96,11 days 00:00:00,1495942088666.2952,1223087.1140954331,993864.6089364487,2.2762329514511332,1.1472839555107457,0.776488785769529
97,11 days 00:30:00,1496642835433.1797,1223373.5469729512,994314.2974100331,2.2762329514511332,1.1472839555107464,0.776488785769529
98,11 days 01:00:00,1497320515369.6135,1223650.4874226192,994759.3349717843,2.2762329514511332,1.1472839555107455,0.7764887857695282
99,11 days 01:30:00,1497986263097.5693,1223922.4906412861,995199.1565722814,2.2762329514511332,1.1472839555107472,0.7764887857695282
100,11 days 02:00:00,1498654218032.7798,1224195.3349170955,995635.0674100536,2.2762329514511332,1.147283955510745,0.7764887857695276
101,11 days 02:30:00,1499337553889.8987,1224474.399034091,996069.7820095329,2.2762329514511332,1.1472839555107461,0.7764887857695283
102,11 days 03:00:00,1500044767707.0159,1224763.1475950833,996506.4343388475,2.2762329514511332,1.1472839555107472,0.7764887857695282
103,11 days 03:30:00,1500775147157.1484,1225061.2830210365,996947.3369786688,2.2762329514511332,1.1472839555107477,0.7764887857695284
104,11 days 04:00:00,1501516035466.9155,1225363.633974387,997392.8454301537,2.2762329514511332,1.147283955510747,0.7764887857695284
105,11 days 04:30:00,1502246735213.287,1225661.753997932,997840.6666787871,2.2762329514511332,1.1472839577401326,0.7764887857695284
106,11 days 05:00:00,1502937828618.8618,1225943.6482232215,998247.3378304804,2.2762329514511332,1.147283962198907,0.7764887857695283
107,11 days 05:30:00,1503615645024.5269,1226220.0638647724,998687.9608212631,2.2762329514511332,1.1472898467956478,0.776488785769528
108,11 days 06:00:00,1504326535536.1006,1226509.9003008907,999145.3559326914,2.2762329514511332,1.147376888615266,0.7764887857695285
109,11 days 06:30:00,1505283411902.2458,1226899.9192689867,999745.6290942844,2.2762329514511332,1.1479874795876635,0.7764887857695288
110,11 days 07:00:00,1506512663607.169,1227400.775462998,1000549.0741700876,2.2874119761205924,1.1489855510016533,0.7764887857695285
111,11 days 07:30:00,1506349301292.0925,1227334.2255849026,1000426.387576292,2.280522939715872,1.1476189970328787,0.7764887857695282
112,11 days 08:00:00,1505650836022.7615,1227049.6469266275,999448.8857447585,2.2762329514511332,1.1460461493520222,0.776488785769528
113,11 days 08:30:00,1505863279973.4963,1227136.2108476372,999575.8072617458,2.2626957366319402,1.145346283877377,0.7764887857695284
114,11 days 09:00:00,1509249761777.506,1228515.2672138454,1001036.3688573937,2.2527682244682197,1.1452279228318045,0.7757153905645782
115,11 days 09:30:00,1516757612555.1897,1231567.136844431,1003499.9368269363,2.2527682244682197,1.1454628641754439,0.7733952049497298
116,11 days 10:00:00,1527105127735.9507,1235760.9508865178,1006674.0839178348,2.2527682244682197,1.1458289634553922,0.7718484145398293
117,11 days 10:30:00,1536813692289.3506,1239682.8998939006,1009241.3715788234,2.2527682244682197,1.1460552697057995,0.7695282289249806
118,11 days 11:00:00,1546372095473.6575,1243532.1047217308,1011637.2847524263,2.2527682244682197,1.1462640051538195,0.7672080433101313
119,11 days 11:30:00,1553333914945.552,1246328.1730529692,1012981.5169038519,2.2527682244682197,1.1462716376347823,0.7672080433101308
120,11 days 12:00:00,1560281204937.8352,1249112.1666759294,1014338.0948158652,2.2527682244682197,1.1463096231713772,0.7672080433101307
121,11 days 12:30:00,1567843135123.9573,1252135.4300250262,1016237.3344558409,2.2527682244682197,1.1465013249676617,0.7664346481051807
122,11 days 13:00:00,1572702943534.2878,1254074.5366740718,1017357.8913152372,2.2527682244682197,1.1465195936917159,0.7656612529002316
123,11 days 13:30:00,1577978102923.0483,1256175.9840575876,1018628.0469285042,2.2527682244682197,1.146631154710511,0.7648878576952823
124,11 days 14:00:00,1579526322074.5066,1256792.0759117263,1018664.4596636435,2.2527682244682197,1.1464161577813494,0.7641144624903329
125,11 days 14:30:00,1582709398231.0571,1258057.7881127151,1019573.383817796,2.2527682244682197,1.146403521201584,0.7633410672853829
126,11 days 15:00:00,1584662654780.8303,1258833.847170003,1020550.1765927937,2.2527682244682197,1.146325049861192,0.7625676720804332
127,11 days 15:30:00,1587235454247.7434,1259855.330681957,1021568.6126739758,2.2527682244682197,1.146302272347834,0.7617942768754826
128,11 days 16:00:00,1589535579667.1848,1260767.8532018433,1022571.809849926,2.2527682244682197,1.1463271833066673,0.7610208816705327
129,11 days 16:30:00,1590796545530.473,1261267.8325916636,1023146.7804140338,2.2527682244682197,1.1462733140162014,0.7602474864655836
130,11 days 17:00:00,1590421621075.0435,1261119.193841345,1023065.0738794949,2.2527682244682197,1.146047647033434,0.7602474864655836
131,11 days 17:30:00,1590218880462.139,1261038.8100538931,1022557.7158153999,2.2527682244682197,1.1454599647820443,0.7602474864655836
132,11 days 18:00:00,1590775148567.8071,1261259.3502399921,1022642.7261108242,2.2527682244682197,1.1450945386644753,0.7602474864655836
133,11 days 18:30:00,1591422216577.4353,1261515.840795285,1023363.0999016584,2.2527682244682197,1.145563961624478,0.7602474864655834
134,11 days 19:00:00,1590798290453.2744,1261268.5243251235,1022944.8579062923,2.2304251949457035,1.1450782059570463,0.7602474864655836
135,11 days 19:30:00,1590399894505.5947,1261110.5798087632,1022663.45828093,2.1655237227728694,1.1444249028113864,0.7602474864655833
136,11 days 20:00:00,1590490359754.8938,1261146.4465932946,1022790.3249059692,2.1206182885254843,1.144052642563096,0.7602474864655833
137,11 days 20:30:00,1590943268460.9116,1261325.9961092183,1023120.6147478928,2.1206182885254843,1.1438181655158055,0.7602474864655829
138,11 days 21:00:00,1591580034191.74,1261578.3900304174,1023536.6626540737,2.1206182885254843,1.1438013323527427,0.7602474864655836
139,11 days 21:30:00,1592241363234.5957,1261840.4666337958,1023957.9001462664,2.1206182885254843,1.1438013917469,0.7602474864655836
140,11 days 22:00:00,1592924381405.683,1262111.0812466878,1024378.5220873277,2.1206182885254843,1.1438013863525396,0.7602474864655833
141,11 days 22:30:00,1593626293126.537,1262389.1211217472,1024798.5400454674,2.1206182885254843,1.1438013863525416,0.7602474864655837
142,11 days 23:00:00,1594335279946.2844,1262669.9014177397,1025217.949347643,2.1206182885254843,1.1438013863525403,0.7602474864655836
143,11 days 23:30:00,1595037353045.1733,1262947.8821571274,1025636.7476410829,2.1206182885254843,1.1438013863525425,0.7602474864655836
144,12 days 00:00:00,1595722311510.721,1263219.0275287658,1026054.9325730838,2.1206182885254843,1.1438013863525405,0.7602474864655839
145,12 days 00:30:00,1596387371909.1638,1263482.2404407447,1026472.501791044,2.1206182885254843,1.1438013863525411,0.7602474864655836
146,12 days 01:00:00,1597037708293.6313,1263739.5729712793,1026889.4529424816,2.1206182885254843,1.1438013863525411,0.7602474864655837
147,12 days 01:30:00,1597684052208.2383,1263995.2738077142,1027305.7836750486,2.1206182885254843,1.1438013863525398,0.7602474864655836
148,12 days 02:00:00,1598338345851.823,1264254.0669706478,1027721.4916365411,2.1206182885254843,1.1438013863525407,0.7602474864655839
149,12 days 02:30:00,1599008995227.2139,1264519.2743597126,1028136.5744749161,2.1206182885254843,1.1438013863525398,0.7602474864655836
150,12 days 03:00:00,1599697383980.7988,1264791.4389261175,1028551.0298383228,2.1206182885254843,1.1438013863525398,0.7602474864655842
151,12 days 03:30:00,1600396951735.6096,1265067.9632871943,1028964.8553751135,2.1206182885254843,1.1438013863525398,0.7602474864655839
152,12 days 04:00:00,1601095409103.4238,1265343.9884487633,1029378.0487338444,2.1206182885254843,1.143801386352541,0.760247486465584
153,12 days 04:30:00,1601779764352.512,1265614.3821687994,1029790.6245780152,2.1206182885254843,1.1438015422815657,0.7602474864655839
154,12 days 05:00:00,1602442910970.5208,1265876.3411054497,1030202.5442071077,2.1206182885254843,1.1438015282019043,0.7602474864655842
155,12 days 05:30:00,1603090508167.864,1266132.1053380899,1030613.9769641641,2.1206182885254843,1.1438022105208168,0.7602474864655843
156,12 days 06:00:00,1603694527924.1887,1266370.6123896705,1031006.1981476743,2.1206182885254843,1.1437553893601236,0.7602474864655838
157,12 days 06:30:00,1604420373070.684,1266657.164772964,1031490.6988336586,2.1206182885254843,1.1440392895595537,0.7602474864655834
158,12 days 07:00:00,1604885098274.1777,1266840.597026389,1031905.8254736341,2.1206182885254843,1.1442533642573973,0.7602474864655835
159,12 days 07:30:00,1604878857166.297,1266838.1337670165,1031977.4007415771,2.1206182885254843,1.1441115652213243,0.7602474864655834
160,12 days 08:00:00,1604589889069.8945,1266724.077717754,1031683.7110705551,2.1206182885254843,1.1438126678083276,0.7602474864655839
161,12 days 08:30:00,1604995835927.9937,1266884.3025027951,1032050.9812464357,2.1206182885254843,1.1438096738243682,0.760247486465584
162,12 days 09:00:00,1606974259850.9753,1267664.8846800858,1033371.1582109,2.1206182885254843,1.14417591282124,0.7602474864655835
163,12 days 09:30:00,1610033535440.4524,1268870.9687909374,1035077.1434985431,2.1206182885254843,1.1445654768365514,0.7594740912606339
164,12 days 10:00:00,1613261241871.257,1270142.2132467125,1036657.0214165095,2.1206182885254843,1.1448498350555627,0.7587006960556846
165,12 days 10:30:00,1619687379654.1548,1272669.3913401684,1039478.0569502277,2.1206182885254843,1.145367627111029,0.7571539056457846
166,12 days 11:00:00,1627352555802.8586,1275677.2929714078,1042540.7471335803,2.1206182885254843,1.1458802273075677,0.7556071152358853
167,12 days 11:30:00,1635305350101.6147,1278790.581018493,1045691.8606406732,2.1206182885254843,1.1463751167746001,0.7532869296210355
168,12 days 12:00:00,1642919562818.1318,1281764.238391028,1048335.7027031671,2.1206182885254843,1.146738352465777,0.7517401392111362
169,12 days 12:30:00,1649665408501.7441,1284393.011699201,1050800.586012804,2.1206182885254843,1.147031536166997,0.7501933488012374
170,12 days 13:00:00,1658733501833.9255,1287918.2822811103,1054098.7641552424,2.1206182885254843,1.1475024780454195,0.7478731631863881
171,12 days 13:30:00,1667848768032.9172,1291452.1934755917,1057001.8539682834,2.1206182885254843,1.147878495366834,0.7455529775715382
172,12 days 14:00:00,1678062394174.16,1295400.4763678913,1060239.0090938094,2.1206182885254843,1.1483119507424122,0.7432327919566895
173,12 days 14:30:00,1687799550713.5942,1299153.3976838894,1063798.800654602,2.1206182885254843,1.148833436635104,0.7416860015467902
174,12 days 15:00:00,1695744017615.4502,1302207.36352374,1066859.1816763568,2.1206182885254843,1.149305379377648,0.7393658159319414
175,12 days 15:30:00,1703323462440.9485,1305114.3484158576,1069922.6954739331,2.1206182885254843,1.1498013099874869,0.7378190255220416
176,12 days 16:00:00,1708661845880.8027,1307157.9269089112,1072646.217774414,2.1206182885254843,1.1502807577523846,0.7362722351121422
177,12 days 16:30:00,1712114334551.885,1308477.8693397474,1074063.4145844074,2.1206182885254843,1.1505224980443503,0.7354988399071918
178,12 days 17:00:00,1716322429214.159,1310084.8938958722,1075578.5815007028,2.1206182885254843,1.15077348953375,0.7339520494972934
179,12 days 17:30:00,1719836170159.0012,1311425.2438316876,1077214.2401434155,2.1206182885254843,1.151197193460604,0.7331786542923432
180,12 days 18:00:00,1721831197534.8862,1312185.6566564376,1078504.4914423602,2.1206182885254843,1.1519117336540512,0.7324052590873937
181,12 days 18:30:00,1722525046117.243,1312450.0166167254,1078834.5540138972,2.1206182885254843,1.1523105001936624,0.7324052590873934
